encroach     vi. 蚕食，侵占
overwhelming  adj. 压倒性的；势不可挡的
attain        vt. 达到，实现；获得；到达
sane          adj. 健全的；理智的；[临床] 神志正常的    
mould         n. 模具，铸模；类型，个性；霉，霉菌；框架，型芯；松软沃土，腐殖土    
plausible     adj. 似乎是真的，貌似有理的；（人）花言巧语的，貌似可信的；可靠的，可重用的  
norm          n. 标准，规范  
loathe        vt. 讨厌，厌恶
loath         adj. 勉强的；不情愿的（等于loth）
grasp         v. 抓牢，握紧；理解，领会；抓住（机会）  
outright      adj. 完全的，彻底的；直率的；全部的
implication   n. 含义；暗示；牵连，卷入；可能的结果，影响
rivalry       n. 竞争，较量
drift         v. 飘移，漂流；任其自然地（或不知不觉地）进入（某种状态）；流浪，漂泊；缓慢移动；传出；吹积
manoeuvre     n. 熟练（谨慎）的动作；军事演习；策略，花招；欺诈性操作
indefinite    adj. 无限期的，期限不定的；模糊不清的，不明确的；（词，屈折变化，短语）不定的  
distortion    n. 歪曲，曲解；变形，失真
incite        vt. 煽动；激励；刺激
outward       adj. 向外的；外面的；公开的；外服的；肉体的
eternal       adj. 永恒的，永存的；似乎无休无止的，没完没了的
weary         adj. 疲倦的；厌烦的；令人厌烦的
span          n. 跨度，跨距；范围
clue          n. 线索，提示；理解，想法
striking      adj. 惊人的，异常的；妩媚动人的，标致的；罢工的；打击的    
humiliate     v. 羞辱，使蒙羞
impute        vt. 归罪于，归咎于；嫁祸于
preferable    adj. 更好的，更合适的
coordinate    v. 协调，配合；使身体协调；（使颜色、款式、风格等）搭配，配套；给 （原子或分子）配位，与……形成共价键
pitfall       n. 陷阱，圈套；缺陷；诱惑
rage          n. 愤怒；狂暴，肆虐；情绪激动
peculiar      adj. 奇怪的，不寻常的，罕见的；特别的，特有的；不舒服的
decisive      adj. 果断的，决断的；决定性的，关键的；确定的，明确的
urge          v. 敦促，催促，力劝；竭力主张，强烈要求；驱赶，鞭策；鼓励，激励（~ sb. on）
palpable      adj. 明显的；可感知的；易觉察的

oasis       n. 绿洲；舒适的地方；令人宽慰的事物
rebound     v. （球或其他运动物体）弹回，反弹；（价格、价值等下跌后）回升，反弹；抢（篮板球）；（事件，局势）产生事与愿违的结果
keen        adj. 渴望的，热衷的；喜爱的，着迷的；热情的，热心的；（兴趣或感情）浓厚的，强烈的；思维敏捷的，敏锐的；（目光或听觉）灵敏的；（战斗或竞争）激烈的，紧张的；<英>（价格）低廉的，有竞争力的；<旧>寒冷刺骨的；锋利的，锐利的；（气味、光或声音）有穿透力的，强烈的，明净的
vibrant     adj. 充满生机的，生气勃勃的；鲜艳的；醒目的；洪亮的；强劲的；颤抖的，震动的    
induce      v. 引诱，诱使；引起，导致；给（孕妇）引产，（用药物）催生；归纳出
antarctic   adj. 南极的；[地理] 南极地带的  n. (the Antarctic) 南极洲；南极地区
seep        v. （液体）渗漏，渗透；逐渐移动，渐渐散开
brittle     adj. 易碎的，脆弱的；易生气的
bleach      v. 漂白，使褪色，晒白；使失去活力，使失去实质内容；用漂白剂给……清洗，消毒
descend     v. 下来，下降；下倾，下斜；降临，来临；（情绪、气氛等）笼罩；突然到来，突然造访；降低身份，堕落；衰落，陷入；遗传
endanger    v. 使处于险境，危及        
solitary    adj. 独自的，单独的；偏僻的，孤立的；独自完成的；（人或动物）独处的，独居的；（花或其他部分）单生的；唯一的，仅有的  
cling v. 抓住，抱紧；黏附，粘住；依恋，依附；坚持，坚信；紧抓不放，坚守

bare   adj. 空的；赤裸的，无遮蔽的
odds   n. （事物发生的）可能性，机会；困难，不利条件；投注赔率；（力量、权力或资源上的）优势
dilute   v. 稀释，冲淡；削弱，降低；稀释股权；使（颜色）变淡，褪（色）；以一定比例的非熟练工替代（熟练工）
incentive    n. 动机；刺激
accustomed   adj. 习惯的；通常的；独有的
liability    n. 责任；债务；倾向；可能性；不利因素
contaminate  vt. 污染，弄脏
venture      n. 风险项目，冒险事业；冒险旅行，冒险行动  
pesticide    n. 杀虫剂，农药    
mandate      n. <法律>授权，委托；任期；命令，指令；托管权，委任统治权；账户代理书面委托  
evasion      n. 逃脱，躲避；逃避手段，逃避方法；遁词，借口  
distress     n. 忧虑，悲伤；贫困；危难，险情；（肉体的）剧痛
defect       n. 缺点，缺陷，毛病
perpetual    adj. 长期的，永恒的；连续不断的，重复不停的；（职位、工作或战利品）终身的；（投资）永不还本的；（植物）四季开花的，四季结果的
portfolio    n. 公文包；文件夹；证券投资组合；部长职务；作品集；（公司或机构提供的）系列产品，系列服务；（职业类型）短期合同制的，兼职的
erode        v. 侵蚀，腐蚀；削弱，降低
anticipate   v. 预料，预期；预见，预计（并做准备）； 期盼，期望； 先于……做，早于……行动；在期限内履行（义务），偿还（债务）；提前使用    
coordinate   v. 协调，配合；使身体协调；（使颜色、款式、风格等）搭配，配套；给 （原子或分子）配位，与……形成共价键
consequent   adj. 随之发生的，由此引起的；（河流，山谷）顺向的    
foam         n. 泡沫，气泡；泡沫橡胶，海绵橡胶；泡沫剂，泡沫产品；唾液，汗沫
dedicate     v. 致力于，献身于；把（书、戏剧、音乐作品等）献给；为（建筑物或教堂）举行奉献（或落成）典礼；题献词

gauge       n. 计量器；标准尺寸；容量规格；针织物的细度
distract    v. 使分心，使转移注意力；<古>使困惑，使迷
discourse   n. 演讲，论述；谈话，交流；话语，语篇  
stigma      n. 耻辱，污名；（植物花朵的）柱头；<医>（病的）外在特征（或特点）；（皮肤上的）斑点，小斑；（基督教传统中的）圣痕 （stigmata）
renowned    adj. 有名望的，著名的
elaborate   adj. 复杂的，详尽的；精心制作的
mastery     n. 精通，熟练掌握；控制，驾驭
instruct    v. 指示，吩咐；教授，指导；聘请（律师），托办；通知；（法官向陪审团）建议，作说明 

jargon    n. 行话，黑话；烟色红皓石，黄皓石  
epidemic  n. 传染病；流行病；风尚等的流行   
advent    n. 出现，到来，问世；基督降临节（Advent）；基督降临，基督复临（Advent）
intersection   n. 交叉；十字路口；交集；交叉点
shepherd  n. 牧羊人，羊倌；牧师；指导者 
stagnate  vi. 停滞；淤塞；变萧条
